,0,1,2,3,4,5,6,7,8,9
0,去っ,軍,機会,なっ,院,攻略,旨,作,艦隊,離れ
1,[字],[郡庁所在地],[村],[郡],背番号,[諱],す,世,[市町村合併],なかっ
2,棄権,振興,党,選手,汽船,選手団,きょうか,す,結ぶ,リーグ
3,隻,校,勝,冊,",",輌,人員,ヶ月,連勝,学年
4,制,[平成],定員,さ,[元禄],以内,中1,[享保],人員,～
5,発売,リリース,視聴率,開局,ノミネート,投票率,タイトル,『,[視聴率],放送
6,メーカー,ヒット,よう,売れ,届か,感度,高価,製品,プレイヤー,被害
7,王座,懲役,打率,[懲役],連続,[リングネーム],金メダル,[大正],USS,ブランド
8,7年,込め,8年,称え,13年,分け,名付け,14年,9年,12年
9,結ん,連絡,一覧,悪化,愛称,歴任,引き継い,れる,結ぶ,記す
10,||,ドル,収入,抗争,地位,ポンド,成長,眠り,億,[アメリカ合衆国ドル]
11,在位,投票率,出馬,藩,ヒトラー,同日,政権,3月,任期,頭角
12,)),[シングル],st,-),発売元,メジャーデビュー,)-,『,発売,[スタジオ・アルバム]
13,れ,なっ,憲法,[民国紀元],就任,任命,れれ,解雇,叙任,れる
14,られる,する,名称,せる,がたい,字,地名,れる,頭文字,ロゴ
15,感じ,連隊,師団,旅団,歩兵連隊,時間,たり,たら,小節,感じる
16,学年,予選,種目,ナンバー,芸名,ニックネーム,ユニット,クラス,異名,トーナメント
17,代わら,[NBA],姿勢,制度,[ブラジル],プレー,一貫,おら,い,輩出
18,米ドル,[駅ナンバリング],享年,号線,けんど,mi,[享年],〒,to,[整数]
19,早い,後ろ,遅い,せ,かかっ,疑問,遅,早く,駒,2本
20,「,力,得て,うる,戦前,ナチス,がたい,[ギミック_(プロレス)],[ドイツ語],フォーム
21,USS,空襲,なかっ,好意,[朝鮮戦争],報復,渋滞,便宜,爆撃機,計画
22,[1945年],[1944年],[1943年],[1947年],[1970年],[1941年],[1950年],[1952年],嫁い,[1942年]
23,終え,つけ,構造,設計,造り,指揮官,感じ,負っ,[パイロット_(航空)],一線
24,閉店,孵化,こと,オープン,市長選挙,開館,出産,立地,[住居表示],開店
25,おり,よう,1,2,3,巨大,4,[GNU_General_Public_License],h,プロトコル
26,生息地,[地球],[太陽],温暖,的,食用,現象,さらさ,[女神],飼育
27,km,ヶ月,–,巡,陸地,隻,mm,％,[ノット],良好
28,巡,中立,棄権,享年,従わ,リーグ2,決勝,2位,指名,リーグ1
29,務め,航海,大使,[種牡馬],知れ,手術,艦,上げ,語っ,長官
30,場合,袖,例,1枚,代,行列,請求,施し,伴う,模
31,おり,いる,くる,しまう,ない,い,なく,いれ,可能,できる
32,com,公式サイト,度目,ホームページ,17年,[ウェブサイト],度,全編,8年,さ
33,[民国紀元],き,昭和,喧嘩,[進化],帰っ,[昭和],言葉,[社会],役割
34,2代,判定,巡,3代,幼名,」,講演,説得,[TBSテレビ],5代
35,[廃車_(鉄道)],億,世帯,廃車,競技,",",有権者,改正,[カナダ],[アメリカ合衆国]
36,創業,継い,学ん,設立,移り住ん,創立,起工,)-,[4月1日],爵位
37,[水力発電],生息,[合流],取水,紀元前,交配,川,流域,和睦,駆動
38,AAA,放映,ノミネート,本,陽性,放送,診断,は本,番線,口径
39,[トレード],年,[戦力外通告],[オリックス・バファローズ],おり,示,!!,[中日ドラゴンズ],[メジャーリーグベースボール],本塁打
40,語ら,言わ,嫁が,聞か,いわ,[慶長],祀ら,聞かさ,抱か,王妃
41,出身,de,第,至る,[陸上自衛隊],学ん,狭義,現,別名,取り組ん
42,むら,にあ,：),見舞わ,悩まさ,上がっ,[小惑星],減っ,ま,"："""
43,[郵便番号],ノミネート,出場,審査員,作家,選考,受賞,種目,最優秀,便
44,開局,[廃車_(鉄道)],登板,原料,番目,廃車,退役,代用,Hz,[熱]
45,ざる,し,機会,停車,でき,率,措置,[貧困線],態度,払っ
46,可能性,濃度,因子,変遷,関わっ,副作用,関与,[国勢調査],人口,規模
47,学ん,性,舎,[オルガン],建築,研究,色彩,奏者,音楽,属
48,審,[競馬の競走],時,競走,杯,満た,幾度,ステークス,連覇,間
