,0
0,botanebi
1,hamachi
2,kaki
3,tako
4,ankimo
5,mentaiko
6,unagi
7,sazae
8,toro_samon
9,uni_kurage
10,kohada
11,ume_shiso_maki
12,nattou_maki
13,namako
14,sayori
15,torigai
16,katsuo
17,inari
18,hirame
19,tarabagani
20,tarako
21,sawara
22,ika_nattou
23,okura
24,himo_kyu_maki
25,samon
26,mekabu
27,shirauo
28,anago
29,shishamo
30,hamo
31,kyabia
32,mirugai
33,shimaaji
34,mentaiko_maki
35,tsubugai
36,gyusashi
37,suzuki
38,hoya
39,negi_toro_maki
40,sarada
41,geso
42,ishigakidai
43,shiso_maki
44,mamakari
45,kanpyo_maki
46,takuwan_maki
47,chu_toro
48,engawa
49,kanpachi
50,tobiuo
51,fugu
52,hiragai
53,hiramasa
54,ika
55,sanma
56,hokkigai
57,buri
58,aji
59,hotategai
60,sasami
61,aoyagi
62,kujira
63,negi_toro
64,kappa_maki
65,tai
66,tekka_maki
67,ebi
68,tamago
69,karasumi
70,hamaguri
71,ikura
72,kanimiso
73,himo
74,ume_maki
75,uni
76,kazunoko
77,maguro
78,shako
79,basashi
80,kaiware
81,awabi
82,kurumaebi
83,kamo
84,kani
85,toro
86,zuke
87,sarada_maki
88,kue
89,saba
90,battera
91,nattou
92,nasu
93,tobiko
94,karei
95,ana_kyu_maki
96,akagai
97,amaebi
98,iwashi
99,komochi_konbu
